Loading dataset...
Engineering categorical features...
Selecting features...
Splitting train/val/test...
Applying log1p to skewed features...
Feature selection (variance + mutual information)...
Scaling features (standard)...
Stage 1: Training QCBM on normal traffic...
Ensembling QCBM models: 3
  Laplace smoothing alpha=1.0
  Contrastive loss enabled  lambda=0.5  margin=10.0
  Warm-start: pre-training 2 layers -> 3 layers
  [AerSimulator] GPU not available — using CPU statevector simulation
  ADAM iter 10/500: loss=3.341411  best=3.341411
  ADAM iter 20/500: loss=3.122629  best=3.122629
  ADAM iter 30/500: loss=2.896886  best=2.896886
  ADAM iter 40/500: loss=2.672211  best=2.672211
  ADAM iter 50/500: loss=2.457425  best=2.457425
  ADAM iter 60/500: loss=2.263340  best=2.263340
  ADAM iter 70/500: loss=2.097953  best=2.097953
  ADAM iter 80/500: loss=1.961965  best=1.961965
  ADAM iter 90/500: loss=1.847988  best=1.847988
  ADAM iter 100/500: loss=1.747507  best=1.747507
  ADAM iter 110/500: loss=1.656840  best=1.656840
  ADAM iter 120/500: loss=1.575453  best=1.575453
  ADAM iter 130/500: loss=1.502636  best=1.502636
  ADAM iter 140/500: loss=1.437751  best=1.437751
  ADAM iter 150/500: loss=1.381605  best=1.381605
  ADAM iter 160/500: loss=1.334858  best=1.334858
  ADAM iter 170/500: loss=1.297476  best=1.297476
  ADAM iter 180/500: loss=1.268321  best=1.268321
  ADAM iter 190/500: loss=1.244499  best=1.244499
  ADAM iter 200/500: loss=1.220672  best=1.220672
  ADAM iter 210/500: loss=1.187684  best=1.187684
  ADAM iter 220/500: loss=1.142299  best=1.142299
  ADAM iter 230/500: loss=1.094470  best=1.094470
  ADAM iter 240/500: loss=1.049492  best=1.049492
  ADAM iter 250/500: loss=1.009752  best=1.009752
  ADAM iter 260/500: loss=0.976198  best=0.976198
  ADAM iter 270/500: loss=0.949265  best=0.949265
  ADAM iter 280/500: loss=0.929565  best=0.929565
  ADAM iter 290/500: loss=0.917724  best=0.917724
  ADAM iter 300/500: loss=0.912851  best=0.912851
  ADAM iter 310/500: loss=0.913774  best=0.912534
  ADAM iter 320/500: loss=0.924057  best=0.912534
  ADAM iter 330/500: loss=0.929672  best=0.912534
  ADAM iter 340/500: loss=0.882671  best=0.882671
  ADAM iter 350/500: loss=0.853831  best=0.853831
  ADAM iter 360/500: loss=0.826405  best=0.826405
  ADAM iter 370/500: loss=0.797576  best=0.797576
  ADAM iter 380/500: loss=0.769172  best=0.769172
  ADAM iter 390/500: loss=0.744091  best=0.744091
  ADAM iter 400/500: loss=0.723869  best=0.723869
  ADAM iter 410/500: loss=0.709847  best=0.709847
  ADAM iter 420/500: loss=0.702454  best=0.702454
  ADAM iter 430/500: loss=0.701624  best=0.700977
  ADAM iter 440/500: loss=0.710436  best=0.700977
  ADAM iter 450/500: loss=0.726128  best=0.700977
  ADAM iter 460/500: loss=0.733273  best=0.700977
  ADAM iter 470/500: loss=0.708425  best=0.700977
  ADAM iter 480/500: loss=0.640224  best=0.640224
  ADAM iter 490/500: loss=0.558361  best=0.558361
  ADAM iter 500/500: loss=0.491523  best=0.491523
  Optimizer: ADAM  lr=0.003  beta1=0.9  beta2=0.999
  Gradient: parameter-shift rule  [batched GPU (161 circuits/job)]
  ADAM iter 10/1500: loss=5.463200  best=5.463200
  ADAM iter 20/1500: loss=4.995681  best=4.995681
  ADAM iter 30/1500: loss=4.736702  best=4.736702
  ADAM iter 40/1500: loss=4.493821  best=4.493821
  ADAM iter 50/1500: loss=4.144964  best=4.144964
  ADAM iter 60/1500: loss=3.611988  best=3.611988
  ADAM iter 70/1500: loss=3.819231  best=3.544845
  ADAM iter 80/1500: loss=3.498199  best=3.498199
  ADAM iter 90/1500: loss=3.247322  best=3.247322
  ADAM iter 100/1500: loss=3.125935  best=3.125935
  ADAM iter 110/1500: loss=3.015844  best=3.015844
  ADAM iter 120/1500: loss=2.989519  best=2.989519
  ADAM iter 130/1500: loss=2.940059  best=2.940059
  ADAM iter 140/1500: loss=2.860969  best=2.860969
  ADAM iter 150/1500: loss=2.811250  best=2.811250
  ADAM iter 160/1500: loss=2.832908  best=2.811250
  ADAM iter 170/1500: loss=2.835003  best=2.811250
  ADAM iter 180/1500: loss=2.819490  best=2.811250
  ADAM iter 190/1500: loss=2.832312  best=2.811250
  ADAM iter 200/1500: loss=2.821187  best=2.811250
  Early stop at iter 200  best_loss=2.811250
  Final KL(normal || model) : 2.679981
  Final KL(anomaly || model): 9.736918  (set --contrast-margin above this to activate contrastive loss)
  Model 1 (seed=42): normal_kl=2.6800  anomaly_kl=9.7369  gap=7.0569
  Laplace smoothing alpha=1.0
  Contrastive loss enabled  lambda=0.5  margin=10.0
  Warm-start: pre-training 2 layers -> 3 layers
  ADAM iter 10/500: loss=3.819921  best=3.819921
  ADAM iter 20/500: loss=3.506025  best=3.506025
  ADAM iter 30/500: loss=3.212605  best=3.212605
  ADAM iter 40/500: loss=2.927719  best=2.927719
  ADAM iter 50/500: loss=2.662825  best=2.662825
  ADAM iter 60/500: loss=2.426007  best=2.426007
  ADAM iter 70/500: loss=2.216330  best=2.216330
  ADAM iter 80/500: loss=2.027132  best=2.027132
  ADAM iter 90/500: loss=1.857794  best=1.857794
  ADAM iter 100/500: loss=1.708839  best=1.708839
  ADAM iter 110/500: loss=1.579113  best=1.579113
  ADAM iter 120/500: loss=1.465770  best=1.465770
  ADAM iter 130/500: loss=1.368124  best=1.368124
  ADAM iter 140/500: loss=1.283980  best=1.283980
  ADAM iter 150/500: loss=1.209407  best=1.209407
  ADAM iter 160/500: loss=1.141739  best=1.141739
  ADAM iter 170/500: loss=1.080333  best=1.080333
  ADAM iter 180/500: loss=1.025132  best=1.025132
  ADAM iter 190/500: loss=0.976505  best=0.976505
  ADAM iter 200/500: loss=0.935052  best=0.935052
  ADAM iter 210/500: loss=0.900940  best=0.900940
  ADAM iter 220/500: loss=0.873899  best=0.873899
  ADAM iter 230/500: loss=0.853540  best=0.853540
  ADAM iter 240/500: loss=0.839476  best=0.839476
  ADAM iter 250/500: loss=0.831037  best=0.831037
  ADAM iter 260/500: loss=0.827229  best=0.827229
  ADAM iter 270/500: loss=0.827089  best=0.826752
  ADAM iter 280/500: loss=0.829878  best=0.826752
  ADAM iter 290/500: loss=0.835038  best=0.826752
  ADAM iter 300/500: loss=0.842143  best=0.826752
  ADAM iter 310/500: loss=0.850971  best=0.826752
  Early stop at iter 315  best_loss=0.826752
  Optimizer: ADAM  lr=0.003  beta1=0.9  beta2=0.999
  Gradient: parameter-shift rule  [batched GPU (161 circuits/job)]
  ADAM iter 10/1500: loss=5.664041  best=5.664041
  ADAM iter 20/1500: loss=5.050093  best=5.050093
  ADAM iter 30/1500: loss=4.467222  best=4.467222
  ADAM iter 40/1500: loss=4.263200  best=4.263200
  ADAM iter 50/1500: loss=3.967447  best=3.967447
  ADAM iter 60/1500: loss=3.684577  best=3.684577
  ADAM iter 70/1500: loss=3.523381  best=3.523381
  ADAM iter 80/1500: loss=3.428231  best=3.428231
  ADAM iter 90/1500: loss=3.349189  best=3.349189
  ADAM iter 100/1500: loss=3.227565  best=3.227565
  ADAM iter 110/1500: loss=3.084975  best=3.084975
  ADAM iter 120/1500: loss=2.804735  best=2.804735
  ADAM iter 130/1500: loss=2.554886  best=2.549949
  ADAM iter 140/1500: loss=2.547789  best=2.547789
  ADAM iter 150/1500: loss=2.514153  best=2.514153
  ADAM iter 160/1500: loss=2.509652  best=2.507822
  ADAM iter 170/1500: loss=2.508971  best=2.507822
  ADAM iter 180/1500: loss=2.456142  best=2.456142
  ADAM iter 190/1500: loss=2.370102  best=2.370102
  ADAM iter 200/1500: loss=2.353386  best=2.340485
  ADAM iter 210/1500: loss=2.148693  best=2.148693
  ADAM iter 220/1500: loss=2.258297  best=2.110145
  ADAM iter 230/1500: loss=2.155458  best=2.110145
  ADAM iter 240/1500: loss=2.052195  best=2.048106
  ADAM iter 250/1500: loss=2.029379  best=2.029379
  ADAM iter 260/1500: loss=2.017171  best=2.017171
  ADAM iter 270/1500: loss=1.994987  best=1.994987
  ADAM iter 280/1500: loss=2.080542  best=1.975193
  ADAM iter 290/1500: loss=2.218663  best=1.975193
  ADAM iter 300/1500: loss=2.276172  best=1.975193
  ADAM iter 310/1500: loss=2.293254  best=1.975193
  ADAM iter 320/1500: loss=2.322513  best=1.975193
  Early stop at iter 323  best_loss=1.975193
  Final KL(normal || model) : 1.967370
